detailsPageUrl,carat,date,dateSet,price,strikethroughPrice,pricePerCarat,skus,id,shapeCode,shapeName,clarity,color,culet,cut,depth,fluorescence,lxwRatio,polish,symmetry,table,hasVisualization,visualizationImageUrl,v360BaseUrl,measurements,willArriveForHoliday,imageUrl,sellingIndex,sold,quickShip
./diamond-details/LD13924008,1.73,Aug 7,Aug 10,21475,,12413,LD13924008,LD13924008,RD,Round,VVS1,E,None,Ideal,62.3,Faint,1.01,Excellent,Excellent,56.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6352310522/still_230x230.jpg?v=2,https://bluenile.v360.in/29/imaged/gia-6352310522/2/,7.66 x 7.71 x 4.78 mm,False,,0.41811517,False,False
./diamond-details/LD12687449,1.99,Aug 3,Aug 4,21477,,10792,LD12687449,LD12687449,RD,Round,VS1,G,None,Ideal,62.6,None,1.01,Excellent,Excellent,55.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6204111506/still_230x230.jpg,https://bluenile.v360.in/17/imaged/gia-6204111506/1/,8.06 x 8.01 x 5.03 mm,False,,0.31262508,False,False
./diamond-details/LD13391490,3.01,Aug 20,Aug 21,21492,,7140,LD13391490,LD13391490,RD,Round,SI2,K,None,Very Good,61.5,None,1.0,Excellent,Excellent,59.0,False,,,9.24 x 9.28 x 5.70 mm,False,,0.04434751,False,False
./diamond-details/LD12574422,3.0,Jul 29,Jul 30,21493,,7164,LD12574422,LD12574422,RD,Round,SI1,K,None,Very Good,63.8,None,1.01,Excellent,Excellent,58.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5326566936/still_230x230.jpg,https://bluenile.v360.in/59/imaged/gia-5326566936/1/,9.03 x 8.97 x 5.75 mm,False,,0.08310619,False,True
./diamond-details/LD12803889,1.9,Aug 20,Aug 21,21501,,11316,LD12803889,LD12803889,RD,Round,VS1,E,None,Ideal,60.6,Medium,1.01,Excellent,Excellent,62.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2336373331/still_230x230.jpg,https://bluenile.v360.in/19/imaged/gia-2336373331/1/,7.97 x 7.91 x 4.81 mm,False,,0.20463909,False,False
./diamond-details/LD13950436,1.9,Aug 20,Aug 21,21501,,11316,LD13950436,LD13950436,RD,Round,VS2,F,None,Ideal,62.2,None,1.01,Excellent,Excellent,56.0,False,,,7.89 x 7.94 x 4.92 mm,False,,0.03721914,False,False
./diamond-details/LD13739318,1.8,Aug 20,Aug 21,21511,,11951,LD13739318,LD13739318,RD,Round,VVS1,D,None,Ideal,61.5,Strong,1.01,Excellent,Excellent,61.0,False,,,7.77 x 7.82 x 4.79 mm,False,,0.31243235,False,False
./diamond-details/LD13982607,2.02,Aug 7,Aug 10,21511,,10649,LD13982607,LD13982607,RD,Round,VVS1,G,None,Ideal,62.1,Strong,1.0,Excellent,Excellent,56.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2357504348/still_230x230.jpg,https://bluenile.v360.in/29/imaged/gia-2357504348/1/,8.06 x 8.09 x 5.02 mm,False,,0.52038914,False,False
./diamond-details/LD13955969,2.4,Aug 20,Aug 21,21523,,8968,LD13955969,LD13955969,RD,Round,VS2,I,None,Ideal,62.4,None,1.0,Excellent,Excellent,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5353183441/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-5353183441/1/,8.55 x 8.51 x 5.32 mm,False,,0.2449844,False,False
./diamond-details/LD13363852,2.03,Aug 6,Aug 7,21533,,10607,LD13363852,LD13363852,RD,Round,VS2,F,None,Ideal,61.0,None,1.0,Excellent,Excellent,56.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6342418735/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-6342418735/1/,8.14 x 8.18 x 4.98 mm,False,,0.31073976,False,False
./diamond-details/LD13463718,2.5,Jul 29,Jul 30,21535,,8614,LD13463718,LD13463718,RD,Round,SI2,H,None,Ideal,59.4,None,1.01,Excellent,Excellent,61.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-3345412992/still_230x230.jpg,https://bluenile.v360.in/13/imaged/gia-3345412992/1/,8.81 x 8.76 x 5.21 mm,False,,0.13049434,False,True
./diamond-details/LD03782190,2.02,Aug 3,Aug 4,21536,,10661,LD03782190,LD03782190,RD,Round,VS2,G,None,Ideal,62.3,Faint,1.0,Excellent,Excellent,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2141613547/still_230x230.jpg,https://bluenile.v360.in/59/imaged/gia-2141613547/1/,8.12 x 8.08 x 5.04 mm,False,,0.32187495,False,False
./diamond-details/LD11462916,1.58,Jul 24,Jul 27,21538,,13632,LD11462916,LD11462916,RD,Round,VS1,D,Very Small,Ideal,61.9,None,1.01,Excellent,Excellent,56.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2195754593/still_230x230.jpg,https://bluenile.v360.in/1/imaged/gia-2195754593/1/,7.49 x 7.45 x 4.62 mm,False,,0.08842878,False,True
./diamond-details/LD11369466,1.71,Aug 3,Aug 4,21550,,12602,LD11369466,LD11369466,RD,Round,VVS1,F,None,Ideal,62.6,None,1.0,Excellent,Excellent,56.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6302398572/still_230x230.jpg,https://bluenile.v360.in/17/imaged/gia-6302398572/1/,7.63 x 7.61 x 4.77 mm,False,,0.16007972,False,False
./diamond-details/LD13028534,1.84,Aug 20,Aug 21,21552,,11713,LD13028534,LD13028534,RD,Round,IF,G,None,Ideal,62.8,None,1.01,Excellent,Excellent,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6331837171/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6331837171/1/,7.74 x 7.79 x 4.88 mm,False,,0.3824639,False,False
./diamond-details/LD13680656,2.2,Jul 29,Jul 30,21557,,9799,LD13680656,LD13680656,RD,Round,VS1,H,None,Ideal,62.3,None,1.01,Excellent,Excellent,58.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6342181380/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6342181380/1/,8.31 x 8.26 x 5.16 mm,False,,0.5156424,False,True
./diamond-details/LD11447611,1.72,Jul 24,Jul 27,21558,,12534,LD11447611,LD11447611,RD,Round,VS1,F,None,Ideal,61.8,None,1.0,Excellent,Excellent,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5192803299/still_230x230.jpg?v=2,https://bluenile.v360.in/9/imaged/gia-5192803299/2/,7.69 x 7.66 x 4.74 mm,False,,0.111538514,False,True
